threshold,f1_macro,f1_anomaly,recall_anom,precision_anom,tpr,fpr,youden
0.05,0.8487908707912601,0.8620721155728399,0.9206176659140953,0.8105276073619632,0.9206176659140953,0.2233891733935133,0.697228492520582
0.1,0.8746057970094614,0.8795564114120266,0.8975388131672102,0.8622804198800342,0.8975388131672102,0.14880074067644591,0.7487380724907643
0.15,0.8841238799439448,0.8860748890067852,0.8844942442233186,0.8876611933200929,0.8844942442233186,0.11619361745218876,0.7683006267711299
0.2,0.8888128071891247,0.8890148509239315,0.8743205953675056,0.9042114669510825,0.8743205953675056,0.09614327460000578,0.7781773207674998
0.25,0.8906214629001782,0.8896369939546744,0.8654848510187585,0.9151758083055793,0.8654848510187585,0.08326823481757949,0.782216616201179
0.3,0.891928547430062,0.8899493853940709,0.8576525350503108,0.9247738406515793,0.8576525350503108,0.07241848219193936,0.7852340528583714
0.35,0.892762531100562,0.8900572360660035,0.8517155838002063,0.932013664368938,0.8517155838002063,0.06449092960680497,0.7872246541934014
0.4,0.8925688677592358,0.8891982998680932,0.8455277754550269,0.9376255679535128,0.8455277754550269,0.05838613546277811,0.7871416399922487
0.45,0.8920020962729502,0.8880142690782589,0.8395629511943585,0.9424003504161191,0.8395629511943585,0.053265052223475974,0.7862978989708825
0.5,0.8909203897733752,0.8863366923532898,0.8335423809125624,0.9462709236464892,0.8335423809125624,0.04912767988889853,0.7844147010236638
0.55,0.8901902735638747,0.8850427477732432,0.8281071438526075,0.9503854643165606,0.8281071438526075,0.0448745768596476,0.78323256699296
0.6,0.8890269357414066,0.8832829296044555,0.8222259386236307,0.9541352653879742,0.8222259386236307,0.0410265312617539,0.7811994073618768
0.65,0.8869545417910165,0.8805046596708872,0.8150625749087159,0.9573729701414353,0.8150625749087159,0.03767034111622255,0.7773922337924933
0.7,0.8849141821813686,0.877723769287845,0.8078155921621094,0.960877925866985,0.8078155921621094,0.03414055492868096,0.7736750372334285
0.75,0.8824929704071853,0.8745106998705354,0.8001783872676088,0.9640674323325945,0.8001783872676088,0.030957960825159853,0.7692204264424489
0.8,0.8802503788950358,0.8713915589691702,0.7921509602252139,0.9682474788770782,0.7921509602252139,0.02696525185892428,0.7651857083662896
0.85,0.8760317991497075,0.8659879814005221,0.7812526130947404,0.971340449126698,0.7812526130947404,0.023927321123745047,0.7573252919709953
0.9,0.8694030471983789,0.857513236603308,0.7651698859993868,0.9752042628774422,0.7651698859993868,0.02019500622052484,0.744974879778862
