iter,n_resources,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_min_child_samples,param_n_estimators,param_num_leaves,param_reg_alpha,param_reg_lambda,param_scale_pos_weight,param_subsample,param_subsample_freq,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
3,220914,32.708517932891844,0.5908074927938578,9.976989603042602,0.1763376769367627,0.7312610669898928,0.04100832334554884,8,26,10000,72,0.8604046183116753,1.2507540815475922,1.611336989409985,0.9290402242638633,1,"{'colsample_bytree': np.float64(0.7312610669898928), 'learning_rate': np.float64(0.04100832334554884), 'max_depth': 8, 'min_child_samples': 26, 'n_estimators': 10000, 'num_leaves': 72, 'reg_alpha': np.float64(0.8604046183116753), 'reg_lambda': np.float64(1.2507540815475922), 'scale_pos_weight': np.float64(1.611336989409985), 'subsample': np.float64(0.9290402242638633), 'subsample_freq': 1}",0.9374104117698121,0.9393161561293597,0.9384212428225092,0.9386274824677623,0.93681327310598,0.9381177132590846,0.0008933196141427305,1,0.9999940136244524,0.9999940136580082,0.9999880270811078,0.9999880271482295,0.9999940136580082,0.9999916190339613,2.932789821451763e-06
3,220914,45.64150972366333,2.3185104140868824,13.155521154403687,1.0231847154753206,0.941203782186944,0.06888977841391714,7,36,10000,229,0.2684748568901568,1.9558396228289472,1.611336989409985,0.82272050498334,1,"{'colsample_bytree': np.float64(0.941203782186944), 'learning_rate': np.float64(0.06888977841391714), 'max_depth': 7, 'min_child_samples': 36, 'n_estimators': 10000, 'num_leaves': 229, 'reg_alpha': np.float64(0.2684748568901568), 'reg_lambda': np.float64(1.9558396228289472), 'scale_pos_weight': np.float64(1.611336989409985), 'subsample': np.float64(0.82272050498334), 'subsample_freq': 1}",0.9370618100810876,0.9384626624578314,0.9373807115978161,0.9389082740841832,0.9368836698149126,0.9377394256071663,0.0008011784847395186,2,0.9999940136244524,0.9999940136580082,0.9999880270811078,0.9999880271482295,0.9999940136580082,0.9999916190339613,2.932789821451763e-06
2,73638,23.016020441055296,0.08510106553447723,3.7143093585968017,0.05697556972027788,0.7312610669898928,0.04100832334554884,8,26,10000,72,0.8604046183116753,1.2507540815475922,1.611336989409985,0.9290402242638633,1,"{'colsample_bytree': np.float64(0.7312610669898928), 'learning_rate': np.float64(0.04100832334554884), 'max_depth': 8, 'min_child_samples': 26, 'n_estimators': 10000, 'num_leaves': 72, 'reg_alpha': np.float64(0.8604046183116753), 'reg_lambda': np.float64(1.2507540815475922), 'scale_pos_weight': np.float64(1.611336989409985), 'subsample': np.float64(0.9290402242638633), 'subsample_freq': 1}",0.9231525317757764,0.923463183959208,0.9249684525362829,0.9242866690658578,0.9231485272603195,0.9238038729194888,0.0007154201547262828,3,1.0,1.0,1.0,0.999982024016409,1.0,0.9999964048032819,7.190393436395936e-06
2,73638,23.889815521240234,0.2564746500298009,3.362115812301636,0.045799063566807664,0.941203782186944,0.06888977841391714,7,36,10000,229,0.2684748568901568,1.9558396228289472,1.611336989409985,0.82272050498334,1,"{'colsample_bytree': np.float64(0.941203782186944), 'learning_rate': np.float64(0.06888977841391714), 'max_depth': 7, 'min_child_samples': 36, 'n_estimators': 10000, 'num_leaves': 229, 'reg_alpha': np.float64(0.2684748568901568), 'reg_lambda': np.float64(1.9558396228289472), 'scale_pos_weight': np.float64(1.611336989409985), 'subsample': np.float64(0.82272050498334), 'subsample_freq': 1}",0.9233448242202171,0.9232708032406924,0.9239417962007226,0.9240630824829856,0.9222702247147232,0.9233781461718682,0.0006367043140818592,4,1.0,1.0,1.0,0.999982024016409,1.0,0.9999964048032819,7.190393436395936e-06
2,73638,17.080241394042968,0.2582673735296848,2.414207935333252,0.03982603903936611,0.6888431241882921,0.033973073466736566,6,28,10000,221,0.16829104217293056,1.1562926587192108,1.611336989409985,0.881207583558071,1,"{'colsample_bytree': np.float64(0.6888431241882921), 'learning_rate': np.float64(0.033973073466736566), 'max_depth': 6, 'min_child_samples': 28, 'n_estimators': 10000, 'num_leaves': 221, 'reg_alpha': np.float64(0.16829104217293056), 'reg_lambda': np.float64(1.1562926587192108), 'scale_pos_weight': np.float64(1.611336989409985), 'subsample': np.float64(0.881207583558071), 'subsample_freq': 1}",0.9236654617703091,0.9236084480958995,0.924361951672465,0.9228249150230916,0.9213032362335822,0.9231528025590695,0.0010450722203898825,5,1.0,1.0,1.0,0.999982024016409,1.0,0.9999964048032819,7.190393436395936e-06
2,73638,18.400546503067016,0.30125022712484806,2.3455610275268555,0.07011780564648516,0.9977829850443283,0.045185050535469076,6,37,10000,156,0.3253996981592677,2.7394742153540723,1.611336989409985,0.8976682092226249,1,"{'colsample_bytree': np.float64(0.9977829850443283), 'learning_rate': np.float64(0.045185050535469076), 'max_depth': 6, 'min_child_samples': 37, 'n_estimators': 10000, 'num_leaves': 156, 'reg_alpha': np.float64(0.3253996981592677), 'reg_lambda': np.float64(2.7394742153540723), 'scale_pos_weight': np.float64(1.611336989409985), 'subsample': np.float64(0.8976682092226249), 'subsample_freq': 1}",0.9233148480824807,0.9223553135658937,0.9245012596672135,0.9232520800903206,0.921090999188908,0.9229029001189634,0.0011339503548183768,6,1.0,1.0,1.0,0.999982024016409,1.0,0.9999964048032819,7.190393436395936e-06
2,73638,21.08815655708313,0.2840595885676486,3.5692843437194823,0.10429629986497621,0.6185801650879991,0.1315089703802877,7,77,10000,181,0.013264961159866528,3.3266052670545583,1.611336989409985,0.9233589392465844,1,"{'colsample_bytree': np.float64(0.6185801650879991), 'learning_rate': np.float64(0.1315089703802877), 'max_depth': 7, 'min_child_samples': 77, 'n_estimators': 10000, 'num_leaves': 181, 'reg_alpha': np.float64(0.013264961159866528), 'reg_lambda': np.float64(3.3266052670545583), 'scale_pos_weight': np.float64(1.611336989409985), 'subsample': np.float64(0.9233589392465844), 'subsample_freq': 1}",0.9220485503539807,0.9230085245478835,0.9239182578113618,0.9221151800213894,0.9206893756593411,0.9223559776787914,0.0010767166750889235,7,1.0,1.0,1.0,0.999982024016409,1.0,0.9999964048032819,7.190393436395936e-06
1,24546,9.845265197753907,0.21543240036093272,0.7661412239074707,0.009250728845669555,0.7312610669898928,0.04100832334554884,8,26,10000,72,0.8604046183116753,1.2507540815475922,1.611336989409985,0.9290402242638633,1,"{'colsample_bytree': np.float64(0.7312610669898928), 'learning_rate': np.float64(0.04100832334554884), 'max_depth': 8, 'min_child_samples': 26, 'n_estimators': 10000, 'num_leaves': 72, 'reg_alpha': np.float64(0.8604046183116753), 'reg_lambda': np.float64(1.2507540815475922), 'scale_pos_weight': np.float64(1.611336989409985), 'subsample': np.float64(0.9290402242638633), 'subsample_freq': 1}",0.912671562041656,0.9047803356848141,0.9043124688123753,0.9057416063194365,0.9035339965232774,0.9062079938763118,0.003309885671894317,8,1.0,1.0,1.0,0.9999460295799955,1.0,0.9999892059159989,2.1588168001818177e-05
1,24546,10.877173709869385,0.14036026159543324,0.784361743927002,0.016380265939159613,0.6888431241882921,0.033973073466736566,6,28,10000,221,0.16829104217293056,1.1562926587192108,1.611336989409985,0.881207583558071,1,"{'colsample_bytree': np.float64(0.6888431241882921), 'learning_rate': np.float64(0.033973073466736566), 'max_depth': 6, 'min_child_samples': 28, 'n_estimators': 10000, 'num_leaves': 221, 'reg_alpha': np.float64(0.16829104217293056), 'reg_lambda': np.float64(1.1562926587192108), 'scale_pos_weight': np.float64(1.611336989409985), 'subsample': np.float64(0.881207583558071), 'subsample_freq': 1}",0.9126145777428251,0.903764459820342,0.9055551418109601,0.9046215651392575,0.90348809937902,0.906008768778481,0.0033810507348073764,9,1.0,1.0,1.0,0.9999460295799955,1.0,0.9999892059159989,2.1588168001818177e-05
1,24546,10.781408882141113,0.2189011480922259,0.7628466129302979,0.012280673182230709,0.941203782186944,0.06888977841391714,7,36,10000,229,0.2684748568901568,1.9558396228289472,1.611336989409985,0.82272050498334,1,"{'colsample_bytree': np.float64(0.941203782186944), 'learning_rate': np.float64(0.06888977841391714), 'max_depth': 7, 'min_child_samples': 36, 'n_estimators': 10000, 'num_leaves': 229, 'reg_alpha': np.float64(0.2684748568901568), 'reg_lambda': np.float64(1.9558396228289472), 'scale_pos_weight': np.float64(1.611336989409985), 'subsample': np.float64(0.82272050498334), 'subsample_freq': 1}",0.9130871706111765,0.9036774525527131,0.9051823554595355,0.9026509600800363,0.9018689864750737,0.905293385035707,0.004051557085891654,10,1.0,1.0,1.0,0.9999460295799955,1.0,0.9999892059159989,2.1588168001818177e-05
