feature,gain,gain_norm,gain_cum
err_channel_psal,37871.273369431496,0.10313392787708119,0.10313392787708119
err_channel_temp,32559.525373458862,0.08866857231921774,0.1918025001962989
LONGITUDE,31642.047243118286,0.08617002619428808,0.277972526390587
LATITUDE,21730.398352265358,0.05917787116743105,0.33715039755801807
woa_resid_psal_deep,18954.530207633972,0.05161841621507178,0.38876881377308986
deep_psal_bias,18777.395513534546,0.05113602956312136,0.4399048433362112
PRES_grad_std,11525.868576407433,0.03138812067088846,0.4712929640070997
density_inv_max,9758.769285082817,0.026575821673564044,0.49786878568066373
spike_rate_psal,9731.553757429123,0.026501706281699816,0.5243704919623635
PSAL_min,9134.73036313057,0.024876391486960824,0.5492468834493244
PSAL_max,8893.640860438347,0.02421983824302763,0.573466721692352
skew_psal,8863.941240668297,0.024138957982850966,0.597605679675203
ts_residual,8855.306162238121,0.024115442281455263,0.6217211219566582
PSAL_mean,7340.480540633202,0.01999015410112541,0.6417112760577836
coverage,7263.367125630379,0.019780152992800493,0.661491429050584
TEMP_mean,7160.127050638199,0.0194990017797319,0.6809904308303159
TEMP_min,6672.046294808388,0.01816982319682811,0.699160254027144
woa_resid_psal_mid,5983.478549838066,0.0162946632185641,0.7154549172457081
max_abs_z_psal,5845.75783932209,0.015919611720110926,0.731374528965819
kurt_psal,5166.839546203613,0.014070729861983872,0.7454452588278029
max_abs_z_temp,4947.799445033073,0.013474223222876634,0.7589194820506795
woa_resid_psal_mean,4680.887160539627,0.01274734741836055,0.7716668294690401
PSAL_std,4565.1431386470795,0.012432144507446428,0.7840989739764865
kurt_temp,4107.774029612541,0.011186602213575546,0.7952855761900621
skew_temp,4009.3392030000687,0.010918537017842305,0.8062041132079044
woa_resid_temp_deep,3576.444370150566,0.009739644931644361,0.8159437581395488
rmse_psal_surface,3507.2716977596283,0.009551268656681546,0.8254950267962303
PSAL_range,3467.426491498947,0.009442759164839281,0.8349377859610696
rmse_temp_deep,3465.8556201457977,0.009438481248666263,0.8443762672097359
TEMP_std,3398.0734584331512,0.009253891717988709,0.8536301589277246
rmse_psal_deep,3203.6096453666687,0.008724313093159863,0.8623544720208846
rmse_temp_mid,2896.6263139247894,0.00788831277028854,0.8702427847911731
spike_rate_temp,2866.0844180583954,0.0078051387598773525,0.8780479235510504
PSAL_grad_std,2747.647034883499,0.007482601082964448,0.8855305246340149
PRES_mean,2714.1294758319855,0.007391323520572663,0.8929218481545876
PSAL_mean_grad,2709.3338446617126,0.007378263693552449,0.9003001118481401
PRES_max,2685.91632604599,0.007314491328350608,0.9076146031764907
TEMP_grad_std,2543.100066423416,0.006925563243574933,0.9145401664200656
TEMP_mean_grad,2523.982570886612,0.006873501027798617,0.9214136674478642
woa_resid_temp_mid,2464.014937520027,0.006710192614208788,0.928123860062073
woa_resid_psal_surface,2406.619376063347,0.006553888662187047,0.9346777487242601
rmse_psal_mid,2221.103731274605,0.006048678368805261,0.9407264270930654
TEMP_max,2184.8550587892532,0.005949963230888569,0.946676390323954
PSAL_max_grad,1918.2719867229462,0.0052239839626570085,0.951900374286611
rmse_psal_overall,1916.8994866609573,0.005220246266249929,0.957120620552861
woa_resid_temp_mean,1882.9261820316315,0.005127727582887802,0.9622483481357488
woa_resid_temp_surface,1802.8533774614334,0.004909667240134072,0.9671580153758829
TEMP_range,1762.7565853595734,0.004800472610621734,0.9719584879865046
peak_err_psal,1726.4416856765747,0.004701577117770603,0.9766600651042753
TEMP_max_grad,1530.1959608793259,0.004167145855584374,0.9808272109598597
rmse_temp_surface,1463.832211971283,0.003986419054381556,0.9848136300142413
peak_err_temp,1380.9700956344604,0.003760762645983043,0.9885743926602243
rmse_temp_overall,1009.5853638648987,0.0027493795385988696,0.9913237721988232
PRES_mean_grad,1001.6265110969543,0.0027277053862843604,0.9940514775851075
mse_total,855.0720270872116,0.0023285970849478703,0.9963800746700554
woa_resid_temp_absmax,429.50274884700775,0.0011696545054212515,0.9975497291754767
PRES_min,338.92240619659424,0.0009229792369437585,0.9984727084124204
woa_resid_psal_absmax,285.66776061058044,0.0007779521415141993,0.9992506605539346
PRES_std,160.884361743927,0.00043813251270398163,0.9996887930666386
density_inv_frac,114.2766797542572,0.00031120693336181813,1.0000000000000004
PRES_range,0.0,0.0,1.0000000000000004
PRES_max_grad,0.0,0.0,1.0000000000000004
