threshold,f1_macro,f1_anomaly,recall_anom,precision_anom,tpr,fpr,youden
0.05,0.769146840183661,0.7118252892132821,0.8349915397631134,0.6203238133547868,0.8349915397631134,0.24095347501435957,0.5940380647487538
0.1,0.7989806220684039,0.7369873322463314,0.7953976311336718,0.6865689081030555,0.7953976311336718,0.1711979066947476,0.6241997244389241
0.15,0.8118826388734046,0.7477041572035154,0.7687309644670051,0.7277970011534025,0.7687309644670051,0.13555427914991383,0.6331766853170913
0.2,0.8197962277624108,0.7546285287223562,0.7517428087986464,0.7575364888828263,0.7517428087986464,0.11344055140723722,0.6383022573914092
0.25,0.8235130309705485,0.7568151711636338,0.7346869712351946,0.7803177341672058,0.7346869712351946,0.09751739102686834,0.6371695802083263
0.3,0.8269124955731837,0.7592810108560242,0.7218950930626058,0.8007507507507508,0.7218950930626058,0.08468951432765333,0.6372055787349524
0.35,0.8278411661916395,0.7587730416832651,0.7090355329949238,0.8160149556005608,0.7090355329949238,0.0753717531431489,0.6336637798517749
0.4,0.8284864405867685,0.7581261950286807,0.6977326565143824,0.8299653812092425,0.6977326565143824,0.06739421788244304,0.6303384386319394
0.45,0.8281926239241489,0.7562140777786072,0.6856852791878173,0.8429153839753724,0.6856852791878173,0.060246346288850595,0.6254389328989667
0.5,0.8282000230777482,0.7548982525153188,0.6753976311336718,0.855611763697162,0.6753976311336718,0.05373667751611462,0.6216609536175571
0.55,0.8262315179667157,0.7508236916711363,0.6632148900169205,0.8651010859009447,0.6632148900169205,0.04875869551343417,0.6144561945034863
0.6,0.8248186998874691,0.7476352922933788,0.6526565143824027,0.8749659740495418,0.6526565143824027,0.04397217435701066,0.6086843400253921
0.65,0.8239537755336254,0.7452134337727558,0.6427749576988155,0.8864930458321665,0.6427749576988155,0.038802731508073264,0.6039722261907423
0.7,0.8215093597519738,0.7403015955118768,0.6296446700507614,0.8981463603012164,0.6296446700507614,0.033665198800178694,0.5959794712505827
0.75,0.818246190193852,0.7342925079595374,0.6165820642978004,0.9075513050408448,0.6165820642978004,0.029612610887740125,0.5869694534100602
0.8,0.8142648521251077,0.7270422765557282,0.6017597292724196,0.9182071672002479,0.6017597292724196,0.02527283170591614,0.5764868975665035
0.85,0.8085913573727606,0.7170814808659159,0.5840270727580372,0.92864829961257,0.5840270727580372,0.02115642351139192,0.5628706492466453
0.9,0.8003341286239891,0.7027072901637953,0.5604060913705584,0.9418723694687748,0.5604060913705584,0.016306082072882762,0.5441000092976757
