iter,n_resources,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_min_child_samples,param_n_estimators,param_num_leaves,param_reg_alpha,param_reg_lambda,param_scale_pos_weight,param_subsample,param_subsample_freq,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
3,139104,31.04930214881897,0.44890386540272403,6.457075834274292,0.10371744538316184,0.7312610669898928,0.04100832334554884,8,26,10000,72,0.8604046183116753,1.2507540815475922,3.0431888859825036,0.9290402242638633,1,"{'colsample_bytree': np.float64(0.7312610669898928), 'learning_rate': np.float64(0.04100832334554884), 'max_depth': 8, 'min_child_samples': 26, 'n_estimators': 10000, 'num_leaves': 72, 'reg_alpha': np.float64(0.8604046183116753), 'reg_lambda': np.float64(1.2507540815475922), 'scale_pos_weight': np.float64(3.0431888859825036), 'subsample': np.float64(0.9290402242638633), 'subsample_freq': 1}",0.9028603483706261,0.901689553595241,0.9016992106691883,0.9015873248354651,0.9014693824251122,0.9018611639791267,0.000506464038079861,1,0.9999879321168114,0.9999758645279962,0.9999879324111787,0.9999758645279962,0.9999758645279962,0.9999806916223959,5.9119591102515895e-06
3,139104,23.939680433273317,0.1782640262045206,4.447671699523926,0.015913792467260338,0.6888431241882921,0.033973073466736566,6,28,10000,221,0.16829104217293056,1.1562926587192108,3.0431888859825036,0.881207583558071,1,"{'colsample_bytree': np.float64(0.6888431241882921), 'learning_rate': np.float64(0.033973073466736566), 'max_depth': 6, 'min_child_samples': 28, 'n_estimators': 10000, 'num_leaves': 221, 'reg_alpha': np.float64(0.16829104217293056), 'reg_lambda': np.float64(1.1562926587192108), 'scale_pos_weight': np.float64(3.0431888859825036), 'subsample': np.float64(0.881207583558071), 'subsample_freq': 1}",0.8984525821731604,0.8989775508825237,0.8977305079338113,0.9002570586407148,0.8974952299413299,0.8985825859143081,0.0009884469745139427,2,0.99961397365487,0.9996019151824012,0.9996381003014407,0.9995416272263575,0.9995657415275893,0.9995922715785317,3.444690136023515e-05
2,46368,17.677933406829833,0.29965993709541444,2.1021249771118162,0.030203957273106534,0.7312610669898928,0.04100832334554884,8,26,10000,72,0.8604046183116753,1.2507540815475922,3.0431888859825036,0.9290402242638633,1,"{'colsample_bytree': np.float64(0.7312610669898928), 'learning_rate': np.float64(0.04100832334554884), 'max_depth': 8, 'min_child_samples': 26, 'n_estimators': 10000, 'num_leaves': 72, 'reg_alpha': np.float64(0.8604046183116753), 'reg_lambda': np.float64(1.2507540815475922), 'scale_pos_weight': np.float64(3.0431888859825036), 'subsample': np.float64(0.9290402242638633), 'subsample_freq': 1}",0.8832866751311026,0.8678852896864768,0.8675223649540823,0.8805354820004279,0.872473100836928,0.8743405825218034,0.006481600678202317,3,1.0,0.9999276850114278,1.0,0.9999639121714949,1.0,0.9999783194365846,2.8919041437604682e-05
2,46368,13.645954608917236,0.3486069665538077,1.4092851161956788,0.04935630894450551,0.6888431241882921,0.033973073466736566,6,28,10000,221,0.16829104217293056,1.1562926587192108,3.0431888859825036,0.881207583558071,1,"{'colsample_bytree': np.float64(0.6888431241882921), 'learning_rate': np.float64(0.033973073466736566), 'max_depth': 6, 'min_child_samples': 28, 'n_estimators': 10000, 'num_leaves': 221, 'reg_alpha': np.float64(0.16829104217293056), 'reg_lambda': np.float64(1.1562926587192108), 'scale_pos_weight': np.float64(3.0431888859825036), 'subsample': np.float64(0.881207583558071), 'subsample_freq': 1}",0.8795286985478221,0.867676377000997,0.8670796858013403,0.8814193001901105,0.8741517331799348,0.8739711589440409,0.005890846175392867,4,1.0,0.9999276850114278,1.0,0.9999639121714949,1.0,0.9999783194365846,2.8919041437604682e-05
2,46368,13.20311770439148,0.1968987045194398,1.334562397003174,0.012479000381535701,0.7257423924305306,0.11171413823294056,8,27,10000,245,0.41038292303562973,2.766653415629146,3.0431888859825036,0.9771414282231924,1,"{'colsample_bytree': np.float64(0.7257423924305306), 'learning_rate': np.float64(0.11171413823294056), 'max_depth': 8, 'min_child_samples': 27, 'n_estimators': 10000, 'num_leaves': 245, 'reg_alpha': np.float64(0.41038292303562973), 'reg_lambda': np.float64(2.766653415629146), 'scale_pos_weight': np.float64(3.0431888859825036), 'subsample': np.float64(0.9771414282231924), 'subsample_freq': 1}",0.881932174864078,0.8667395736610946,0.8678274267224252,0.8800556473469276,0.873292012326196,0.8739693669841444,0.006179017219466576,5,1.0,0.9999276850114278,1.0,0.9999639121714949,1.0,0.9999783194365846,2.8919041437604682e-05
2,46368,14.17217583656311,0.19129666411633256,1.3290020942687988,0.018813061167388987,0.9977829850443283,0.045185050535469076,6,37,10000,156,0.3253996981592677,2.7394742153540723,3.0431888859825036,0.8976682092226249,1,"{'colsample_bytree': np.float64(0.9977829850443283), 'learning_rate': np.float64(0.045185050535469076), 'max_depth': 6, 'min_child_samples': 37, 'n_estimators': 10000, 'num_leaves': 156, 'reg_alpha': np.float64(0.3253996981592677), 'reg_lambda': np.float64(2.7394742153540723), 'scale_pos_weight': np.float64(3.0431888859825036), 'subsample': np.float64(0.8976682092226249), 'subsample_freq': 1}",0.8797311113594688,0.8664702631044028,0.8659954074000815,0.883741517776604,0.871242668621701,0.8734361936524516,0.007134798311882204,6,1.0,0.9999276850114278,1.0,0.9999639121714949,1.0,0.9999783194365846,2.8919041437604682e-05
2,46368,13.332685136795044,0.17867758257933544,1.3309690475463867,0.015743425172998888,0.9744619096643123,0.14920595933499461,8,28,10000,128,0.6150072266991697,3.47016155031279,3.0431888859825036,0.7016654596278955,1,"{'colsample_bytree': np.float64(0.9744619096643123), 'learning_rate': np.float64(0.14920595933499461), 'max_depth': 8, 'min_child_samples': 28, 'n_estimators': 10000, 'num_leaves': 128, 'reg_alpha': np.float64(0.6150072266991697), 'reg_lambda': np.float64(3.47016155031279), 'scale_pos_weight': np.float64(3.0431888859825036), 'subsample': np.float64(0.7016654596278955), 'subsample_freq': 1}",0.8778728131641615,0.8636563981702394,0.8625814330634938,0.8777021161026614,0.8656758076896238,0.869497713638036,0.00684130660521332,7,1.0,0.9999276850114278,1.0,0.9999639121714949,1.0,0.9999783194365846,2.8919041437604682e-05
1,15456,4.557197523117066,0.23385601911232184,0.23333334922790527,0.0023959862171066926,0.7257423924305306,0.11171413823294056,8,27,10000,245,0.41038292303562973,2.766653415629146,3.0431888859825036,0.9771414282231924,1,"{'colsample_bytree': np.float64(0.7257423924305306), 'learning_rate': np.float64(0.11171413823294056), 'max_depth': 8, 'min_child_samples': 27, 'n_estimators': 10000, 'num_leaves': 245, 'reg_alpha': np.float64(0.41038292303562973), 'reg_lambda': np.float64(2.766653415629146), 'scale_pos_weight': np.float64(3.0431888859825036), 'subsample': np.float64(0.9771414282231924), 'subsample_freq': 1}",0.8505102287565894,0.8262157072565558,0.8335653091104891,0.8354721327023391,0.8357627555514009,0.8363052266754749,0.007900328537227563,8,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1,15456,7.035536575317383,0.06942661457593571,0.39661412239074706,0.004378376854740184,0.7312610669898928,0.04100832334554884,8,26,10000,72,0.8604046183116753,1.2507540815475922,3.0431888859825036,0.9290402242638633,1,"{'colsample_bytree': np.float64(0.7312610669898928), 'learning_rate': np.float64(0.04100832334554884), 'max_depth': 8, 'min_child_samples': 26, 'n_estimators': 10000, 'num_leaves': 72, 'reg_alpha': np.float64(0.8604046183116753), 'reg_lambda': np.float64(1.2507540815475922), 'scale_pos_weight': np.float64(3.0431888859825036), 'subsample': np.float64(0.9290402242638633), 'subsample_freq': 1}",0.8441295677888829,0.8284827380023718,0.8310360008982496,0.8391086487416762,0.8312066548956076,0.8347927220653576,0.005875247087378751,9,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1,15456,8.147304201126099,0.04887417405037262,0.42075085639953613,0.006934803603977381,0.6888431241882921,0.033973073466736566,6,28,10000,221,0.16829104217293056,1.1562926587192108,3.0431888859825036,0.881207583558071,1,"{'colsample_bytree': np.float64(0.6888431241882921), 'learning_rate': np.float64(0.033973073466736566), 'max_depth': 6, 'min_child_samples': 28, 'n_estimators': 10000, 'num_leaves': 221, 'reg_alpha': np.float64(0.16829104217293056), 'reg_lambda': np.float64(1.1562926587192108), 'scale_pos_weight': np.float64(3.0431888859825036), 'subsample': np.float64(0.881207583558071), 'subsample_freq': 1}",0.8420624688518448,0.8248783338080341,0.8312427676518122,0.8375561905428293,0.8373023119993006,0.8346084145707643,0.005958379689052325,10,1.0,1.0,1.0,1.0,1.0,1.0,0.0
