ocean,strategy,chosen_threshold,val_roc_auc,val_pr_auc,test_roc_auc,test_pr_auc,test_f1_macro,test_precision_anomaly,test_recall_anomaly,test_f1_anomaly
atlantic,f1_macro_val,0.7491911169522254,0.6758517456907871,0.6378300299640887,0.6615227616242436,0.5756824135094265,0.6573629968041729,0.5792663476874004,0.40717488789237666,0.4782093482554312
pacific,f1_macro_val,-0.6183553312966723,0.5350406549342908,0.7677074118106073,0.4982403921821844,0.8590103085969645,0.4773704580695347,0.8470762220712259,0.6817538441742264,0.7554763390072186
indian,f1_macro_val,0.4662085736920695,0.5317449453430856,0.5804129982903665,0.5487552576498512,0.6229368480150779,0.48177255552513154,0.6282722513089005,0.23773239865894544,0.3449419568822554
